Content,Label
"#معاوضدعملوقيادهالمراه انا مع قيادة المرأة لان حق لها، و الي تبي البلاوي تسويها لو بغرفتها،والعمل حق مشروع لكل شخص سواء كان رجل ام انثى.",pos
#معاوضدعملوقيادهالمراه انا مع قيادة المراة لااني لم اشاهد في دول الخليج يوجد او اسمع ان امراة تتعرض لتحرش او اختطاف او اغتصاب وهي تقود السيارة بل الحديث الكثير مع السائق او ابر وكريم خلوها تقود وربك كريم والنظام الحازم وعازم يربيهم من يتجاوز حدوده علي المراة في القيادة,pos
#معاوضدعملوقيادهالمراه انا مع العمل و قيادة المرأة,pos
"#معاوضدعملوقيادهالمراه المرأه كلللل المجتمع ، محد مسنعكم ومنظفكم ومشبعكم غير المرأه واقل حق من حقوقها تمارس حياتها الطبيعية سواء بعمل او قيادة وحطوا ببالكم المرأة تقود بيت بكبره مو صعب عليها تقود سيارة 🙂❤️..",pos
"#معاوضدعملوقيادهالمراه المرأة قادرة على أن تُدير نصف مجتمع ، كيف لها أن لا تستطيع قيادة أو عمل !! 
 بنظري المرأه خُلقت لتكون كُل المجتمع - فنصف المجتمع تربيتُها والنصف الاخر هي .",pos
"#معاوضدعملوقيادهالمراه 
 مع قياده المرأه وهي تقود من زمان عندنا 
 وعمل المرأه مافيه شي أذا مافيه أختلاط",pos
"#معاوضدعملوقيادهالمراه 
 مع قيادة المرأة وبقوة
 نص القرار 👇👇
 يارب إحفظ قيادة وشعب #السعوديهالعظمي https://t.co/FHfL4UsvHD",pos
"#معاوضدعملوقيادهالمراه 
 مع عمل المرأه في اماكن لا يوجد بها اختلاط 
 مع قيادة المرأه",pos
"#معاوضدعملوقيادهالمراه 
 
 أنا مع عمل و قيادة المرأه وضد مناقشة مواضيع المرأه بهالشكل
 المرأه جزء من المجتمع مثلها مثل الرجل ولهم حقوق مثل إن الرجال لهم حقوق
 فلا تفصلون أحد عن أحد خلاص ترى ملينا",pos
#معاوضدعملوقيادهالمراه - مع قياده المره اذا كانت محتشمه وش اللي يمنع اقضل من انها تركب مع سائق غريب 🙏,pos
"#قيادهالمرأهالسعودية 
 
 الحمدلله دائما وابدا ❤️🙏🏼🚙 https://t.co/P6efxy0368",pos
#قيادةالمرأةللسيارة رسميا..اليوم زوجتي الله يحفظها ساقت السياره ..,pos
"#التحدياتالاسريهفيالمجتمعالسعودي
 قيادة المرأه للسياره وحاجتها لذلك من الضروريات التي تعينها على الوصول للعمل او الجامعة في الوقت المحدد او لظروف السفر ومايحدث احياناً من اصابة السائق ان كان اب او اخ او زوج ونحوه فكيف سيكون التصرف اذا كانت المرأه لا تعرف القياده؟",pos
#MBS قيادتنا الرشيدة تدعم المرأه ومكنتها في حقوقها الخاصه لكي يمكنها ممارسة حياتها الطبيعيه بحياتها اليوميه #قيادةالمراه,pos
#MBS عمل الامير محمد بن سلمان على اصلاحات كبيرة في المملكة ومنها قيادة المراه ودخولها للملاعب,pos
#MBS سعى الأمير مُحمد بن سلمان على دعم المرأة السعودية في شتى مناحي الحياة وأعاد إليها بعض حقوقها مثل قيادة المرأة للسيارة,pos
والله لو احلف لو تطلعون رخصة ثقيل ومرخص ماتتعلمون القيادة ي رجال وجيه قيادة والله لو تعلمها القيادة سنه وقدام ماتتعلم بالله يالحريم فكونا من شركم جيبي لك سواق بنقالي يوديك إلي تبينة عشان حياتك وحياة الآخرين ولآ اقول سيكل والرياضة زينة😂😂يابوي ضد ضد #معاوضدعملوقيادهالمراه,neg
والله قلنا لكم مافيه فايده قيادة المراه للسياره!😕 https://t.co/CPnTzdx5yc,neg
من قيادة المرأة في السعودية الى انشاء معابد لغير المسلمين في الامارات وصولاً لزيارة نتنياهو لعمان حتى منح الجنسية لغير المسلمين في الكويت و التي ستتبعها البحرين في القريب العاجل ليس منها شيء يمس الدين و لكنها تمس التقاليد و هو امراً هيّن..,neg
"من تالي كثرت حوادثي 
 الله يلعن قياده المرأه",neg
"من اول ماطلعنا على الدنيا كبرنا ووعينا ان قيادة المرأه سلبياتها اكثر من الإيجابيات ، وتطبيقها عندنا خطأ كنّا الدوله الوحيده المتميزه بعدم القياده ، اصبحنا نتبع من حولنا ، واخرتها البنت نفسها تطالب هي نفسها تتضرر،﴿ وقرن في بيوتكن ولاتبرجن تبرج الجهلية الأولى ﴾🌱.
 #واللهلاصدمك",neg
"مع عمل المراه في مكان خاص بالنساء فقط بعيدآ عن الاختلاط مع الرجال !
 وضد قيادة المراه للسيارة لانها بداية او شراره الاولي لختلاط المراه بالرجال ومن ثم العهر والفساد !!
 ومع عودة هيئة الامر بالمعروف والنهي عن المنكر بكامل صلاحيتها !! #معاوضدعملوقيادهالمراه",neg
"لن تستمر قيادة المرأة وستنتهي بسرعة لأسباب دينية وإجتماعية وإقتصادية، وأتحدى لو تستمر لنهاية عام ١٤٤١ هـ.
 #معاوضدعملوقيادهالمراه",neg
قيادة المكنسة وأولادها في بيتها خيرٍ من ألف سيارة #معاوضدعملوقيادهالمراه,neg
قبل قيادة المرأة كان البنزين رخيص والكهرباء رخيص ومافيه ضريبة #معاوضدعملوقيادهالمراه,neg
"قادت او لا
 فهي لا تستطيع قيادة نفسها
 فكل يوم لها 275 رأي
 #معاوضدعملوقيادهالمراه",neg
عمل المرأة بدون اختلاط وبكامل الحشمة ما فيه شي اما اللي نشوفه سواء في المستشفيات او في الاسواق فانا ضده لانه شي يقهر بجد اما قيادة المرأة فانا ضدها لاني ما راح اقصر باذن الله على اهلي وباقي النساء مالي علاقة فيهن #معاوضدعملوقيادهالمراه,neg
"طبعا ضد قيادة المراءه للسياره الا المضطره لان الضرر اكثر من النفع ، وضد عمل المراءه المختلط ، لان والله كله استدراج من الشيطان ، وقلة حياء للمرءه ومحرم شرعا ورجاء لحد يعترض على شي ربي حرمه الا وهو الاختلاط ✋🏻 #معاوضدعملوقيادهالمراه",neg
"ضد كل الضد 
 و ما ادري ليش هيئة كبار العلماء تراجعت عن فتاويها بالتحريم الي جلهم كانو يشددون في تحريم قيادة المرأة 
 #معاوضدعملوقيادهالمراه",neg
ضد قياده المرآه حفاظا على ارواح الآخرين #معاوضدعملوقيادهالمراه,neg
"ضد قياده المرأة وعملها بمكان مختلط وبقوة ولايليق بها كإمرأهً مسلمه !! مااقتصرت مجالات الرزق على الإختلاط ويوجد من الأعمال مايحفظ لها دينها وعفتها وحياءها
 #معاوضدعملوقيادهالمراه",neg
ضد قيادة المرأه#معاوضدعملوقيادهالمراه,neg
ضد قيادة المرأه وعمل الاختلاط بالرجال #معاوضدعملوقيادهالمراه,neg
ضد قيادة المرأه #معاوضدعملوقيادهالمراه,neg
"ضد قيادة المرأة
 ضد عمل المرأة اذا كان فيه اختلاط وإذا ما كان فيه عادي #معاوضدعملوقيادهالمراه",neg
ضد قيادة المرأة مكانه في البيت #معاوضدعملوقيادهالمراه,neg
ضد قيادة المراه الى الموت #معاوضدعملوقيادهالمراه,neg
"ضد عمل المرأة مع الرجال ، وضد قيادة المرأة الا بشروط ( عمر معين - ضروف خاصه- أماكن معينه ) خصوصية تربينا عليها صعب تتغير في يوم وليلة . #معاوضدعملوقيادهالمراه",neg
ضد العمل المختلط وضد قيادة المراة #معاوضدعملوقيادهالمراه,neg
"ضد العمل 
 لكن مش ضد قياده السياره للمراه 
 دا انا نفسى اتعلمها بجد #معاوضدعملوقيادهالمراه",neg
خطر قيادة المرأة حسيا التعدي على الأرواح وخطرها معنويا التعدي على الاعراض https://t.co/g3Cfd4Fppf,neg
تعمل مافيه مشكله بس قياده ضدها وبقوه #معاوضدعملوقيادهالمراه,neg
"إتفاق رجال الدين 
 بن باز العثيمين الفوزان 
 
 على حرمة قيادة المرأة للسيارة 
 بالرغم من ذلك حلل الحرام بكل اسف !!? 
 #معاوضدعملوقيادهالمراه https://t.co/KDvStSbb7O",neg
انا ضد قيادة المراءة وكذلك تعليمها #معاوضدعملوقيادهالمراه,neg
"انا ضد قياده المراءه
 
 #معاوضدعملوقيادهالمراه",neg
"انا ضد قيادة المرأه من اليوم بعد ماكنت اناصرهم…
 تو وحده حكّت صدام سيارتي وكويس اني كنت مشغل السياره وامداني احرك،وربي كانت بتشيله معها.",neg
انا ضد قيادة المرأة للسيارة 🤨,neg
انا ضد قيادة المرأة لانوا بصراحة احنا رجال وماسلمنا من القيادة حوادث ومخالفات أشكال والوان يجون هذولا اللي معليش اللي يلبسون الكعب العالي ويفلحون كارثة بصراحة#معاوضدعملوقيادهالمراه,neg
انا ضد قيادة المرأة .. انا مابغا امشي للموقف خلي السيارة تجي للباب 😪😑,neg
"انا ضد قيادة الرجل اصلا
 #معاوضدعملوقيادهالمراه",neg
انا انسان مع حصول المراة على كامل حقوقها مو بس قياده و عمل و بنفس اللحظة مع تغيير فكر المجتمع إتجاه المراة عشان لما تحصل على حقوقها ما يفكر هذا خروج عن الدين #معاوضدعملوقيادهالمراه,neg
امس وحده حدها واحد وصدمت باكستاني ومات الله يرحمه انا ضد قياده ذبحتو عيال خلق الله 🥺💔 #معاوضدعملوقيادهالمراه,neg
الي يقولون مع قياده المره هذولا مكثرين من لحم الخنزير #معاوضدعملوقيادهالمراه,neg
"اعوذ بالله ماهذا الفسق اي عمل واي قياده للمرأه المراه مكانها المنزل ثم القبر هي راس الفتنه ورأس كل فساد في هذه البلاد 
 اعوذ بالله اعوذ بالله استغفر الله استغفر الله #معاوضدعملوقيادهالمراه",neg
اتمنى يوقفون قيادة المرأة لان بعض الحريم مرره تجيب العيد وهي تسوق انا اليوم لو اني مو مركز في الخط والاكان رحت في خرايطها لفت علي حرمه وبلا اي تنبيه لا اشارة مسكت بريك في وسط الشارع والاخت وقفت يمين الخط بلا اي احساس ولا كأني موجود وغيرها من المواقف .. #معاوضدعملوقيادهالمراه,neg
"اتمنى منعها الى الابدلان قيادة المرأة للسيارة هي باب من ابواب الفتنة ولن تغلق الابمنعها من القيادة 
 والا راح تكون مثل الشعوب فقر وفسادوكثر الزنا وغيرها 
 قد هلكت الامم السابقة وذهبت ريحها لم يبقى لها ذكر 
 لان الله سلط عليهم بذنوبهم
 التاريخ يعيد نفسه
 #معاوضدعملوقيادهالمراه",neg
